ubigeo;departamento;provincia;distrito;poblacion;superficie;longitud;latitud
010101;Amazonas;Chachapoyas;Chachapoyas;29171;153.78;-77.8714;-6.2294
010102;Amazonas;Chachapoyas;Asunción;288;25.71;-77.7122;-6.0317
010103;Amazonas;Chachapoyas;Balsas;1644;357.09;-78.0214;-6.8375
010104;Amazonas;Chachapoyas;Cheto;591;56.97;-77.7003;-6.2558
010105;Amazonas;Chachapoyas;Chiliquín;687;143.43;-77.7392;-6.0778
010106;Amazonas;Chachapoyas;Chuquibamba;2064;278.63;-77.8575;-6.9333
010107;Amazonas;Chachapoyas;Granada;379;181.41;-77.6344;-6.0997
010108;Amazonas;Chachapoyas;Huancas;1329;48.79;-77.8686;-6.1747
010109;Amazonas;Chachapoyas;La Jalca;5513;380.39;-77.8192;-6.4825
010110;Amazonas;Chachapoyas;Leimebamba;4206;373.14;-77.8006;-6.6636
010111;Amazonas;Chachapoyas;Levanto;862;77.54;-77.8994;-6.3086
010112;Amazonas;Chachapoyas;Magdalena;782;135.47;-77.9017;-6.3736
010113;Amazonas;Chachapoyas;Mariscal Castilla;986;83.58;-77.8053;-6.5939
010114;Amazonas;Chachapoyas;Molinopampa;2750;333.86;-77.6683;-6.2056
010115;Amazonas;Chachapoyas;Montevideo;572;119.01;-77.8025;-6.6133
010116;Amazonas;Chachapoyas;Olleros;363;125.16;-77.6761;-6.0239
010117;Amazonas;Chachapoyas;Quinjalca;830;91.59;-77.66;-6.085
010118;Amazonas;Chachapoyas;San Francisco de Daguas;351;47.41;-77.7392;-6.2333
010119;Amazonas;Chachapoyas;San Isidro de Maino;703;101.67;-77.8439;-6.3533
010120;Amazonas;Chachapoyas;Soloco;1302;84.48;-77.7453;-6.2619
010121;Amazonas;Chachapoyas;Sonche;218;113.26;-77.7753;-6.2183
010201;Amazonas;Bagua;La Peca;8048;144.29;-78.4344;-5.6092
010202;Amazonas;Bagua;Aramango;10940;809.07;-78.4361;-5.4156
010203;Amazonas;Bagua;Copallín;6319;99.05;-78.4228;-5.6733
010204;Amazonas;Bagua;El Parco;1492;18.48;-78.4764;-5.6247
010205;Amazonas;Bagua;Bagua;26091;150.99;-78.5319;-5.6389
010206;Amazonas;Bagua;Imaza;24323;4430.84;-78.2903;-5.16
010301;Amazonas;Bongará;Jumbilla;1764;154.18;-77.7958;-5.9006
010302;Amazonas;Bongará;Corosha;1046;45.67;-77.84;-5.8294
010303;Amazonas;Bongará;Cuispes;899;110.72;-77.9392;-5.9236
010304;Amazonas;Bongará;Chisquilla;335;174.96;-77.7839;-5.9003
010305;Amazonas;Bongará;Churuja;269;33.34;-77.9517;-6.0192
010306;Amazonas;Bongará;Florida;8663;203.22;-77.9714;-5.8336
010307;Amazonas;Bongará;Recta;201;24.58;-77.7861;-5.9194
010308;Amazonas;Bongará;San Carlos;310;100.76;-77.9447;-5.9636
010309;Amazonas;Bongará;Shipasbamba;1819;127.29;-78.0692;-5.8744
010310;Amazonas;Bongará;Valera;1281;90.14;-77.9139;-6.0425
010311;Amazonas;Bongará;Yambrasbamba;8470;1715.96;-77.9772;-5.6908
010312;Amazonas;Bongará;Jazán;9349;88.83;-77.9806;-5.9419
010401;Amazonas;Luya;Lámud;2292;69.49;-77.9503;-6.1308
010402;Amazonas;Luya;Camporredondo;7131;376.01;-78.3186;-6.2136
010403;Amazonas;Luya;Cocabamba;2517;355.85;-78.0303;-6.6297
010404;Amazonas;Luya;Colcamar;2263;106.6;-78.0019;-6.3175
010405;Amazonas;Luya;Conila;2083;256.17;-78.1419;-6.1592
010406;Amazonas;Luya;Inguilpata;587;118.04;-77.9561;-6.2428
010407;Amazonas;Luya;Longuita;1161;57.91;-77.9681;-6.4147
010408;Amazonas;Luya;Lonya Chico;961;83.82;-77.9564;-6.2328
010409;Amazonas;Luya;Luya;4420;91.21;-77.9469;-6.165
010410;Amazonas;Luya;Luya Viejo;489;73.87;-78.0847;-6.1275
010411;Amazonas;Luya;María;945;80.27;-77.9733;-6.4517
010412;Amazonas;Luya;Ocalli;4259;177.39;-78.2667;-6.2347
010413;Amazonas;Luya;Ocumal;4194;235.86;-78.2294;-6.3061
010414;Amazonas;Luya;Pisuquia;6132;306.5;-78.0747;-6.5114
010415;Amazonas;Luya;San Cristóbal;685;33.36;-77.9525;-6.0997
010416;Amazonas;Luya;San Francisco del Yeso;821;113.94;-77.8469;-6.5861
010417;Amazonas;Luya;San Jerónimo;880;214.66;-77.9669;-6.0344
010418;Amazonas;Luya;San Juan de Lopecancha;506;88.02;-77.8969;-6.4572
010419;Amazonas;Luya;Santa Catalina;1908;126.21;-78.0633;-6.1117
010420;Amazonas;Luya;Santo Tomás;3537;84.93;-77.8739;-6.5617
010421;Amazonas;Luya;Tingo;1363;102.67;-77.9056;-6.3761
010422;Amazonas;Luya;Trita;1378;12.68;-77.9806;-6.1519
010423;Amazonas;Luya;Providencia;1536;71.22;-78.2503;-6.3108
010501;Amazonas;Rodríguez de Mendoza;San Nicolás;5290;206.01;-77.4831;-6.3956
010502;Amazonas;Rodríguez de Mendoza;Cochamal;504;199.44;-77.5889;-6.3933
010503;Amazonas;Rodríguez de Mendoza;Chirimoto;2079;153.0;-77.4869;-6.5283
010504;Amazonas;Rodríguez de Mendoza;Huambo;2542;99.56;-77.5369;-6.4275
010505;Amazonas;Rodríguez de Mendoza;Limabamba;3049;317.88;-77.5097;-6.5025
010506;Amazonas;Rodríguez de Mendoza;Longar;1619;66.24;-77.5461;-6.3853
010507;Amazonas;Rodríguez de Mendoza;Milpuc;599;26.8;-77.4358;-6.4983
010508;Amazonas;Rodríguez de Mendoza;Mariscal Benavides;1376;176.18;-77.5003;-6.3697
010509;Amazonas;Rodríguez de Mendoza;Omia;9787;175.13;-77.3947;-6.4686
010510;Amazonas;Rodríguez de Mendoza;Santa Rosa;457;34.11;-77.4539;-6.4542
010511;Amazonas;Rodríguez de Mendoza;Totora;448;6.02;-77.4711;-6.4914
010512;Amazonas;Rodríguez de Mendoza;Vista Alegre;3803;899.02;-77.3019;-6.1514
010601;Amazonas;Condorcanqui;Nieva;29213;4481.63;-77.8672;-4.5947
010602;Amazonas;Condorcanqui;Río Santiago;16986;8035.28;-77.7658;-4.0106
010603;Amazonas;Condorcanqui;El Cenepa;9620;5458.48;-78.1592;-4.4503
010701;Amazonas;Utcubamba;Bagua Grande;54033;746.64;-78.4428;-5.7558
010702;Amazonas;Utcubamba;Cajaruro;28491;1746.23;-78.4267;-5.7364
010703;Amazonas;Utcubamba;Cumba;8752;292.66;-78.6653;-5.9317
010704;Amazonas;Utcubamba;El Milagro;6399;313.89;-78.5578;-5.6367
010705;Amazonas;Utcubamba;Jamalca;8243;357.98;-78.2203;-5.9158
010706;Amazonas;Utcubamba;Lonya Grande;10443;327.92;-78.4219;-6.0956
010707;Amazonas;Utcubamba;Yamón;2841;57.61;-78.5322;-6.0525
020101;Áncash;Huaraz;Huaraz;65663;432.99;-77.5333;-9.5272
020102;Áncash;Huaraz;Independencia;75559;342.95;-77.5344;-9.5189
020103;Áncash;Huaraz;Cochabamba;1983;135.65;-77.8619;-9.4939
020104;Áncash;Huaraz;Colcabamba;826;50.65;-77.8108;-9.5956
020105;Áncash;Huaraz;Huanchay;2235;209.34;-77.8197;-9.7236
020106;Áncash;Huaraz;Jangas;5106;59.84;-77.5767;-9.4014
020107;Áncash;Huaraz;La Libertad;1138;164.26;-77.7442;-9.6333
020108;Áncash;Huaraz;Olleros;2148;222.91;-77.4661;-9.6664
020109;Áncash;Huaraz;Pampas;1165;357.81;-77.8272;-9.6556
020110;Áncash;Huaraz;Pariacoto;4794;162.5;-77.8931;-9.5622
020111;Áncash;Huaraz;Pira;3755;243.73;-77.7075;-9.5814
020112;Áncash;Huaraz;Tarica;5936;110.28;-77.5769;-9.3919
020201;Áncash;Aija;Aija;1841;159.74;-77.6114;-9.7819
020203;Áncash;Aija;Coris;2270;267.15;-77.7225;-9.8211
020205;Áncash;Aija;Huacllán;628;37.91;-77.6747;-9.7975
020206;Áncash;Aija;La Merced;2190;153.08;-77.6189;-9.7361
020208;Áncash;Aija;Succha;828;78.84;-77.6497;-9.8242
020301;Áncash;Bolognesi;Chiquián;3587;184.16;-77.1586;-10.1517
020302;Áncash;Bolognesi;Abelardo Pardo Lezameta;1263;11.31;-77.1508;-10.2992
020304;Áncash;Bolognesi;Aquia;2465;434.6;-77.1464;-10.0742
020305;Áncash;Bolognesi;Cajacay;1603;193.06;-77.4419;-10.1564
020310;Áncash;Bolognesi;Huayllacayán;1076;127.99;-77.4342;-10.2436
020311;Áncash;Bolognesi;Huasta;2610;387.91;-77.1458;-10.1225
020313;Áncash;Bolognesi;Mangas;566;115.84;-77.1039;-10.3694
020315;Áncash;Bolognesi;Pacllón;1771;211.98;-77.0722;-10.2333
020317;Áncash;Bolognesi;San Miguel de Corpanqui;1298;43.78;-77.2;-10.285
020320;Áncash;Bolognesi;Ticllos;1291;89.41;-77.1911;-10.2522
020321;Áncash;Bolognesi;Antonio Raymondi;1065;118.7;-77.4703;-10.1575
020322;Áncash;Bolognesi;Canis;1308;19.45;-77.1711;-10.3381
020323;Áncash;Bolognesi;Colquioc;4165;274.61;-77.6156;-10.3117
020324;Áncash;Bolognesi;La Primavera;951;68.61;-77.1253;-10.3344
020325;Áncash;Bolognesi;Huallanca;8325;873.39;-76.9444;-9.8994
020401;Áncash;Carhuaz;Carhuaz;15712;194.62;-77.6469;-9.2806
020402;Áncash;Carhuaz;Acopampa;2685;14.17;-77.6225;-9.2942
020403;Áncash;Carhuaz;Amashca;1571;11.99;-77.6464;-9.2392
020404;Áncash;Carhuaz;Anta;2510;40.77;-77.5978;-9.3569
020405;Áncash;Carhuaz;Ataquero;1353;47.22;-77.6914;-9.2625
020406;Áncash;Carhuaz;Marcará;9452;157.49;-77.6033;-9.3211
020407;Áncash;Carhuaz;Pariahuanca;1630;11.74;-77.5828;-9.3642
020408;Áncash;Carhuaz;San Miguel de Aco;2794;133.89;-77.5644;-9.3678
020409;Áncash;Carhuaz;Shilla;3318;130.19;-77.6256;-9.2306
020410;Áncash;Carhuaz;Tinco;3301;15.44;-77.6819;-9.2711
020411;Áncash;Carhuaz;Yungar;3462;46.43;-77.5931;-9.3778
020501;Áncash;Casma;Casma;33648;1204.85;-78.3036;-9.475
020502;Áncash;Casma;Buena Vista Alta;4250;476.62;-78.2047;-9.4289
020503;Áncash;Casma;Comandante Noél;2044;222.36;-78.3831;-9.4622
020505;Áncash;Casma;Yaután;8531;357.2;-77.9956;-9.5097
020601;Áncash;Corongo;Corongo;1420;143.13;-77.8967;-8.5683
020602;Áncash;Corongo;Aco;442;56.54;-77.8769;-8.5228
020603;Áncash;Corongo;Bambas;546;151.13;-77.9925;-8.6022
020604;Áncash;Corongo;Cusca;2985;411.55;-77.8631;-8.5106
020605;Áncash;Corongo;La Pampa;1004;93.94;-77.9011;-8.6619
020606;Áncash;Corongo;Yánac;704;45.85;-77.8636;-8.6178
020607;Áncash;Corongo;Yupán;1041;85.87;-77.9661;-8.615
020701;Áncash;Huaylas;Caraz;26740;246.52;-77.8108;-9.0472
020702;Áncash;Huaylas;Huallanca;686;178.8;-77.8653;-8.8194
020703;Áncash;Huaylas;Huata;1638;70.69;-77.8625;-9.0167
020704;Áncash;Huaylas;Huaylas;1421;56.89;-77.8925;-8.8694
020705;Áncash;Huaylas;Mato;2003;107.12;-77.8456;-8.9617
020706;Áncash;Huaylas;Pamparomás;9268;496.35;-77.9819;-9.0731
020707;Áncash;Huaylas;Pueblo Libre;7246;130.99;-77.8025;-9.1117
020708;Áncash;Huaylas;Santa Cruz;5236;357.7;-77.815;-8.9486
020709;Áncash;Huaylas;Yuracmarca;1760;565.7;-77.9036;-8.7364
020710;Áncash;Huaylas;Santo Toribio;1056;82.02;-77.915;-8.8644
020801;Áncash;Huari;Huari;10423;398.91;-77.1725;-9.3478
020802;Áncash;Huari;Cajay;2552;159.35;-77.1569;-9.3253
020803;Áncash;Huari;Chavín de Huántar;9251;434.13;-77.1772;-9.5869
020804;Áncash;Huari;Huacachi;1826;86.7;-76.9356;-9.3164
020805;Áncash;Huari;Huachis;3466;153.89;-77.1003;-9.4097
020806;Áncash;Huari;Huacchis;2079;72.16;-76.7875;-9.2
020807;Áncash;Huari;Huántar;3058;156.15;-77.175;-9.4517
020808;Áncash;Huari;Masín;1652;75.33;-77.0958;-9.3653
020809;Áncash;Huari;Paucas;1827;135.31;-76.8983;-9.1522
020810;Áncash;Huari;Ponto;3333;118.29;-77.0047;-9.325
020811;Áncash;Huari;Rahuapampa;814;9.02;-77.0772;-9.3592
020812;Áncash;Huari;Rapayan;1800;143.34;-76.7611;-9.2053
020813;Áncash;Huari;San Marcos;15094;556.75;-77.1575;-9.525
020814;Áncash;Huari;San Pedro de Chana;2850;138.65;-77.0117;-9.4025
020815;Áncash;Huari;Uco;1668;53.61;-76.9269;-9.1886
020816;Áncash;Huari;Anra;1581;80.31;-76.9253;-9.2347
020901;Áncash;Mariscal Luzuriaga;Piscobamba;3799;45.93;-77.3567;-8.8611
